ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,CÁRCEL_SIN_SENTENCIA,FINANCIAMIENTO_POLICIA,DELINCUENCIA_ORGANIZADA,EFICIENCIA_SISTEMA_JUDICIAL,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA
AGUASCALIENTES,AS,1.1,4.7,2.1,2.1,3.4,1.9,3.9,2.445,21856
BAJA_CALIFORNIA,BC,2.7,3.6,3.2,5,3.2,2,5,2.954,36731
BAJA_CALIFORNIA_SUR,BS,1.7,3.2,2,5,5,1.8,3.6,2.357,17010
CAMPECHE,CC,1.5,1.1,1.5,1,4.9,1.5,3.7,1.81,13860
CHIAPAS,CS,1.5,1.5,2.2,1,2.1,1.3,4.7,1.93,12151
CHIHUAHUA,CH,3.4,2,5,1.9,2.6,1.1,5,2.96,31092
COAHUILA,CL,2,3,3.2,1,2.6,1.7,5,2.591,22572
COLIMA,CM,2.1,2.7,4.3,3.7,5,1.4,5,2.872,32783
DURANGO,DG,2.4,2.2,5,1.1,3.7,1.2,5,2.829,22279
GUANAJUATO,GT,1.9,5,5,1.6,1.7,1.2,4.8,3.015,24967
GUERRERO,GR,4.5,3.3,5,1.5,2.4,2.3,5,3.657,43666
HIDALGO,HG,1.3,1.9,2,1,2.4,1.2,2.4,1.604,12764
JALISCO,JC,1.8,3,5,2.9,1.5,2.7,4.6,2.915,19565
ESTADO_DE_MÉXICO,MC,1.9,3.6,5,1,1.3,1.9,5,2.904,25673
CIUDAD_DE_MÉXICO,DF,1.5,4.3,5,1,1.9,2.1,3.8,2.867,25476
MICHOACÁN,MN,2.6,2.2,5,1,2.2,3,5,3.104,24230
MORELOS,MS,2.8,5,3.4,1.1,3.2,2.9,5,3.425,41313
NAYARIT,NT,1.7,1.2,2.7,1,4.5,1,4.3,2.028,15305
NUEVO_LEÓN,NL,1.7,2.2,2.1,1,2.1,4.6,5,2.67,23004
OAXACA,OC,2.2,2.6,2.7,1.1,2.2,1.4,5,2.427,21263
PUEBLA,PL,1.3,3,2.9,1,1.7,1.4,4.7,2.23,17031
QUERÉTARO,QT,1.3,2.4,1.5,1,2.7,1,3.1,1.703,16431
QUINTANA_ROO,QR,1.8,4.2,2.4,2.8,3.8,3.1,4.8,2.904,31771
SAN_LUIS_POTOSÍ,SP,1.6,1.8,2.3,1.4,2.8,1.3,4.4,1.998,14876
SINALOA,SL,3.6,2.8,5,1.9,2.7,1.8,5,3.256,33414
SONORA,SR,2.5,1.9,3.9,3.9,3.8,1.4,4.6,2.625,22151
TABASCO,TC,1.5,4.9,1.2,2.3,2.7,1.9,3.9,2.354,24224
TAMAULIPAS,TS,2.4,2.7,3.4,1,2.9,3.4,5,2.98,33482
TLAXCALA,TL,1.3,1.7,1.6,1.4,4.1,1,4.9,1.892,9494
VERACRUZ,VZ,1.4,1.5,2.5,1,1.6,1.4,5,1.979,10054
YUCATÁN,YN,1,1.8,2,1,2.9,1.3,3.2,1.68,13835
ZACATECAS,ZS,1.5,2.6,3.1,1,2.9,2.8,5,2.604,19033
