ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,CÁRCEL_SIN_SENTENCIA,FINANCIAMIENTO_POLICIA,DELINCUENCIA_ORGANIZADA,EFICIENCIA_SISTEMA_JUDICIAL,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA
AGUASCALIENTES,AS,1.128,3.602,1.243,1.165,3.541,1.192,3.79,2.061,18493
BAJA_CALIFORNIA,BC,3.004,3.806,2.425,1.925,3.276,1.896,5,3.057,27791
BAJA_CALIFORNIA_SUR,BS,2.678,3.479,2.502,2.162,5,2.388,4.182,3.037,30160
CAMPECHE,CC,1.376,1.015,1.089,5,5,1.201,5,2.145,12929
CHIAPAS,CS,1.726,1.322,1.344,3.502,2.161,1.204,4.78,2.027,9695
CHIHUAHUA,CH,3.287,2.03,3.406,2.392,2.607,1,5,2.824,20792
COAHUILA,CL,1.781,2.357,1.655,1.568,2.676,1,5,2.171,17346
COLIMA,CM,2.666,1.609,2.924,5,5,1.024,5,2.836,29003
DURANGO,DG,2.113,2.555,2.637,2.881,3.881,1.22,5,2.641,19451
GUANAJUATO,GT,2.23,3.652,3.481,1.014,1.674,1,4.946,2.695,20672
GUERRERO,GR,5,2.637,5,1.575,2.415,2.827,5,3.859,36033
HIDALGO,HG,1.266,1.921,1.211,1.748,2.504,1,3.889,1.758,11870
JALISCO,JC,1.984,2.226,2.301,2.501,1.528,2.357,4.272,2.429,14563
ESTADO_DE_MÉXICO,MC,1.982,3.194,2.194,1.46,1.214,1.301,5,2.403,18597
CIUDAD_DE_MÉXICO,DF,1.74,4.336,3.12,1.073,1.9,2.123,2.49,2.529,18511
MICHOACÁN,MN,2.348,1.929,2.309,2.216,2.138,1.1,5,2.371,15083
MORELOS,MS,3.094,4.334,1.995,1.069,3.42,2.302,5,3.123,29178
NAYARIT,NT,1.365,1.153,1.393,5,4.615,3.58,5,2.592,12561
NUEVO_LEÓN,NL,1.678,2.054,2.719,1.308,2.056,3.889,5,2.699,13980
OAXACA,OC,2.571,1.976,2.534,2.118,2.213,1,5,2.452,17227
PUEBLA,PL,1.569,2.364,1.929,1.866,1.709,1.708,5,2.241,13451
QUERÉTARO,QT,1.479,2.911,1.221,1.216,2.736,1,4.798,2.075,15543
QUINTANA_ROO,QR,2.226,3.545,1.311,2.361,4.089,1.751,5,2.691,26259
SAN_LUIS_POTOSÍ,SP,1.601,1.349,1.388,3.009,2.905,1.051,5,2.026,11324
SINALOA,SL,4.001,2.059,5,2.291,2.695,1.858,5,3.41,25947
SONORA,SR,2.498,1.618,2.09,4.831,3.78,1.225,5,2.607,16742
TABASCO,TC,1.713,3.887,1.059,1.48,2.803,2.095,3.056,2.259,19108
TAMAULIPAS,TS,2.234,2.794,1.775,1.455,2.878,3.095,5,2.736,21297
TLAXCALA,TL,1.225,1.791,1.228,1.642,4.431,1,5,1.981,12825
VERACRUZ,VZ,1.451,1.462,1.445,2.144,1.61,1,5,1.872,8485
YUCATÁN,YN,1.033,1.526,1.218,1.916,3.106,1.217,5,1.858,11050
ZACATECAS,ZS,2.171,2.417,2.438,1.137,3.094,1.862,5,2.55,19478
