ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,DELINCUENCIA_ORGANIZADA,CÁRCEL_SIN_SENTENCIA,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA
AGUASCALIENTES,AS,1.1,3.525,1.285,1.702,1.18,1.779,25000
BAJA_CALIFORNIA,BC,3.764,3.319,3.054,1.98,1.96,3.01,37900
BAJA_CALIFORNIA_SUR,BS,2.916,4.019,3.146,3.334,1.831,3.195,50200
CAMPECHE,CC,1.669,1.128,1.299,1.204,4.46,1.607,16500
CHIAPAS,CS,1.65,1.382,1.457,1.318,2.757,1.574,11850
CHIHUAHUA,CH,3.78,1.83,3.978,1,2.592,2.731,31000
COAHUILA,CL,1.567,2.064,1.436,1.052,1.293,1.515,20400
COLIMA,CM,5,2.577,5,2.063,3.248,3.734,66500
DURANGO,DG,2.054,2.511,2.23,1.34,2.568,2.076,28000
GUANAJUATO,GT,2.339,3.458,3.606,1,1.049,2.443,30800
GUERRERO,GR,5,2.505,5,3.693,1.572,3.927,53600
HIDALGO,HG,1.306,2.102,1.367,1.05,1.476,1.445,19600
JALISCO,JC,2.148,2.317,2.476,2.177,2.261,2.264,22400
ESTADO_DE_MÉXICO,MC,1.951,2.46,2.109,1.831,1.672,2.042,24400
CIUDAD_DE_MÉXICO,DF,1.8,3.843,3.281,2.221,1.007,2.55,26000
MICHOACÁN,MN,3.361,1.978,3.972,1.148,1.706,2.596,25600
MORELOS,MS,3.72,4.235,3.046,1.44,1,2.997,43300
NAYARIT,NT,1.143,1,1.105,1,5,1.384,10220
NUEVO_LEÓN,NL,1.983,2.329,3.268,4.613,1.204,2.803,22760
OAXACA,OC,2.784,1.916,3.248,1.035,2.095,2.272,26200
PUEBLA,PL,1.725,2.177,2.016,1.39,1.73,1.808,18300
QUERÉTARO,QT,1.365,3.316,1.147,1,1.078,1.632,23300
QUINTANA_ROO,QR,1.612,1.937,1.477,1.098,3.85,1.724,19000
SAN_LUIS_POTOSÍ,SP,1.856,2.304,1.95,2.34,1.488,2.041,23400
SINALOA,SL,4.385,1.736,5,1.836,2.608,3.274,37350
SONORA,SR,2.558,2.14,2.089,2.003,3.544,2.339,24000
TABASCO,TC,1.824,4.461,1.25,2.013,1.166,2.25,28000
TAMAULIPAS,TS,2.339,2.302,2.002,2.391,1.562,2.212,26600
TLAXCALA,TL,1.404,1.631,1.472,1,1.682,1.403,14200
VERACRUZ,VZ,2.194,1.365,2.02,1.14,2.026,1.75,12800
YUCATÁN,YN,1.085,1.417,1.185,1.233,1.505,1.239,14600
ZACATECAS,ZS,3.384,2.308,3.932,2.138,1.163,2.828,37300
