ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,DELINCUENCIA_ORGANIZADA,CÁRCEL_SIN_SENTENCIA,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA,IMPACTO_ECONOMICO_BILLONES
AGUASCALIENTES,AS,1.234,3.979,1.465,3.041,1.016,2.219,"28,324",48.1
BAJA_CALIFORNIA,BC,5,4.225,5,5,1.445,4.553,"80,850",325.9
BAJA_CALIFORNIA_SUR,BS,2.493,4.22,2.307,5,1.271,3.247,"44,271",41.6
CAMPECHE,CC,1.354,1.041,1.112,1.253,3.29,1.374,"15,046",21.6
CHIAPAS,CS,1.575,1.838,1.413,1.813,1.485,1.641,"14,752",105.7
CHIHUAHUA,CH,4.758,2.849,4.496,2.966,1.649,3.68,"56,785",249.5
COAHUILA,CL,1.362,2.779,1.194,2.838,1.026,1.909,"17,919",76.3
COLIMA,CM,5,3.414,5,3.269,1.474,4.021,"83,167",73.5
DURANGO,DG,1.488,3.06,1.406,2.746,2.18,2.121,"19,090",45.5
GUANAJUATO,GT,4.295,4.068,4.885,1.917,1.001,3.602,"53,882",380
GUERRERO,GR,5,3.027,4.742,4.21,1.182,4.063,"62,115",258.3
HIDALGO,HG,1.384,3.126,1.62,1.503,1.214,1.808,"21,532",81.3
JALISCO,JC,2.723,2.989,2.725,3.087,1.54,2.761,"34,750",345.3
ESTADO_DE_MÉXICO,MC,1.872,4.902,2.12,2.221,1.153,2.574,"29,761",636.8
CIUDAD_DE_MÉXICO,DF,1.818,5,2.93,2.389,1.048,2.767,"28,875",352.1
MICHOACÁN,MN,3.07,2.392,4.022,1.747,1.491,2.714,"37,930",218.4
MORELOS,MS,3.392,4.605,2.715,1.511,1.007,2.926,"51,468",122.2
NAYARIT,NT,3.019,1,2.556,2.677,4.731,2.568,"30,171",46.5
NUEVO_LEÓN,NL,1.78,3.307,2.08,4.066,1.165,2.592,"25,780",180.9
OAXACA,OC,2.767,2.874,3.035,1.632,1.236,2.482,"36,483",176.6
PUEBLA,PL,2.148,3.1,2.154,1.392,1.213,2.115,"26,187",216
QUERÉTARO,QT,1.412,2.982,1.541,2.431,1.13,1.959,"22,532",64.5
QUINTANA_ROO,QR,3.848,4.004,3.884,4.015,1.307,3.72,"48,961",96.8
SAN_LUIS_POTOSÍ,SP,2.138,3.007,2.268,2.948,1.159,2.438,"27,493",100.6
SINALOA,SL,3.194,2.722,3.195,3.074,1.215,2.912,"36,944",135.8
SONORA,SR,2.735,1.614,2.414,2.441,2.671,2.369,"29,952",115.2
TABASCO,TC,2.282,4.613,2.137,3.01,1.209,2.809,"31,499",97.1
TAMAULIPAS,TS,2.841,3.635,2.742,3.167,1.083,2.916,"39,036",164.8
TLAXCALA,TL,1.518,1.745,1.322,1.003,1.168,1.39,"17,815",32.1
VERACRUZ,VZ,2.154,1.843,2.063,1.968,1.448,1.975,"22,146",232.4
YUCATÁN,YN,1.009,1.168,1,1.078,1.148,1.066,"10,808",37.8
ZACATECAS,ZS,3.571,2.771,3.468,4.538,1.154,3.392,"41,792",81.7
