ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,DELINCUENCIA_ORGANIZADA,CÁRCEL_SIN_SENTENCIA,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA,IMPACTO_ECONOMICO_BILLONES,,,
AGUASCALIENTES,AS,1.492,3.948,1.718,3.415,1.225,2.436,"32,648",46.2,,,
BAJA_CALIFORNIA,BC,5,4.206,5,5,1.732,4.572,"72,409",259.1,,,
BAJA_CALIFORNIA_SUR,BS,1.666,4.107,1.357,5,1.419,2.797,"40,370",31.8,,,
CAMPECHE,CC,1.526,1.299,1.279,3.375,3.296,1.959,"21,647",21.3,,,
CHIAPAS,CS,1.669,1.823,1.491,1.923,1.752,1.726,"15,581",88,,,
CHIHUAHUA,CH,5,3.052,4.773,3.558,1.675,3.977,"61,176",230.3,,,
COAHUILA,CL,1.596,2.776,1.428,3.418,1.227,2.163,"21,662",68.8,,,
COLIMA,CM,5,3.452,5,4.804,1.536,4.357,"83,926",64.9,,,
DURANGO,DG,1.643,3.115,1.466,3.184,2.157,2.281,"22,142",41,,,
GUANAJUATO,GT,4.645,4.252,4.928,2.149,1.169,3.817,"55,075",340,,,
GUERRERO,GR,4.3,2.845,4.044,4.655,1.369,3.783,"48,055",175.1,,,
HIDALGO,HG,1.793,3.423,1.791,2.091,1.34,2.161,"28,153",85.9,,,
JALISCO,JC,3.104,3.795,2.723,2.777,1.523,2.977,"37,379",311.2,,,
ESTADO_DE_MÉXICO,MC,2.091,5,2.332,3.165,1.268,2.91,"33,338",574.9,,,
CIUDAD_DE_MÉXICO,DF,2.142,5,2.987,3.517,1.195,3.124,"37,956",342.8,,,
MICHOACÁN,MN,3.806,2.453,4.455,2.102,1.611,3.118,"45,580",218.4,,,
MORELOS,MS,4.431,3.871,3.326,3.226,1.231,3.583,"56,559",114.4,,,
NAYARIT,NT,1.973,1.308,1.628,2.107,4.574,2.001,"21,978",27.9,,,
NUEVO_LEÓN,NL,2.152,3.086,2.431,4.227,1.312,2.773,"27,539",152.4,,,
OAXACA,OC,2.936,3.049,2.893,1.722,1.388,2.572,"36,643",151,,,
PUEBLA,PL,2.3,3.599,2.347,1.695,1.333,2.378,"31,113",203.6,,,
QUERÉTARO,QT,1.602,3.425,1.745,4.162,1.229,2.521,"28,018",62.7,,,
QUINTANA_ROO,QR,4.087,5,3.669,5,1.31,4.165,"53,556",90.2,,,
SAN_LUIS_POTOSÍ,SP,2.155,3.623,2.256,3.603,1.283,2.718,"26,708",76,,,
SINALOA,SL,2.957,2.917,2.649,3.146,1.348,2.798,"33,899",106.1,,,
SONORA,SR,3.937,2.008,3.149,3.118,2.562,3.093,"43,008",130.6,,,
TABASCO,TC,2.834,4.993,2.747,2.908,1.28,3.161,"39,286",100,,,
TAMAULIPAS,TS,2.615,3.67,2.021,2.553,1.23,2.594,"34,289",124.2,,,
TLAXCALA,TL,1.861,1.428,1.506,1.326,1.758,1.579,"22,541",30.7,,,
VERACRUZ,VZ,2.372,1.995,2.18,2.843,1.605,2.292,"24,341",206.6,,,
YUCATÁN,YN,1.104,1.322,1.041,1.601,1.49,1.272,"11,714",26.2,,,
ZACATECAS,ZS,3.449,3.041,3.214,5,1.333,3.473,"42,680",70.6,,,
