ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,DELINCUENCIA_ORGANIZADA,CÁRCEL_SIN_SENTENCIA,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA,IMPACTO_ECONOMICO_BILLONES,,,,,
AGUASCALIENTES,AS,1.368,3.167,1.49,3.425,1.307,2.197,"36,158",51.9,,,,,
BAJA_CALIFORNIA,BC,5,3.296,5,5,2.11,4.411,"71,413",259.6,,,,,
BAJA_CALIFORNIA_SUR,BS,1.554,3.411,1.274,5,1.496,2.607,"35,761",28.8,,,,,
CAMPECHE,CC,1.533,1.223,1.345,1.723,4.297,1.691,"21,543",21.6,,,,,
CHIAPAS,CS,1.544,1.444,1.372,1.629,2.874,1.613,"13,742",78.7,,,,,
CHIHUAHUA,CH,5,2.641,4.894,3.29,1.785,3.867,"61,538",233.9,,,,,
COAHUILA,CL,1.495,2.274,1.312,3.204,1.766,2.003,"18,344",59,,,,,
COLIMA,CM,5,3.344,5,4.224,1.418,4.203,"77,957",61.2,,,,,
DURANGO,DG,1.649,2.463,1.455,2.904,2.196,2.088,"20,650",38.6,,,,,
GUANAJUATO,GT,5,3.313,5,2.657,1.28,3.856,"67,536",420.6,,,,,
GUERRERO,GR,3.485,2.308,3.337,3.962,1.499,3.15,"37,922",138.7,,,,,
HIDALGO,HG,1.72,2.732,1.756,1.672,1.488,1.911,"25,302",78.1,,,,,
JALISCO,JC,3.008,2.916,2.433,2.589,1.822,2.691,"38,466",323.5,,,,,
ESTADO_DE_MÉXICO,MC,2.06,4.783,2.38,3.536,1.271,2.943,"33,836",589.7,,,,,
CIUDAD_DE_MÉXICO,DF,1.933,4.107,2.285,2.378,1.479,2.517,"44,355",400,,,,,
MICHOACÁN,MN,4.195,2.225,4.41,1.856,1.798,3.142,"50,321",242.8,,,,,
MORELOS,MS,3.942,3.429,3.094,2.42,1.414,3.143,"52,101",106.5,,,,,
NAYARIT,NT,1.891,1.266,1.499,1.614,5,1.872,"22,219",28.6,,,,,
NUEVO_LEÓN,NL,2.023,2.727,2.421,3.393,1.503,2.496,"27,681",155.3,,,,,
OAXACA,OC,2.487,2.55,2.573,1.628,1.606,2.266,"31,565",130.8,,,,,
PUEBLA,PL,1.984,2.654,1.936,1.561,1.716,2.005,"31,227",206.2,,,,,
QUERÉTARO,QT,1.584,3.013,1.608,4.084,1.29,2.39,"43,574",99.3,,,,,
QUINTANA_ROO,QR,3.419,3.944,2.755,3.689,1.551,3.304,"46,871",80.8,,,,,
SAN_LUIS_POTOSÍ,SP,2.662,2.963,2.724,4.167,1.437,2.956,"32,053",91.9,,,,,
SINALOA,SL,2.601,2.595,2.401,2.747,1.387,2.493,"32,089",101.3,,,,,
SONORA,SR,4.3,2.28,3.412,3.234,2.268,3.312,"48,117",147.9,,,,,
TABASCO,TC,2.501,3.36,2.335,1.942,1.464,2.448,"33,133",85.2,,,,,
TAMAULIPAS,TS,2.237,2.783,1.747,2.396,1.35,2.216,"29,404",107.3,,,,,
TLAXCALA,TL,1.583,1.305,1.289,1.581,3.098,1.587,"20,310",28,,,,,
VERACRUZ,VZ,2.135,2.178,2.199,2.316,1.569,2.15,"23,060",196.9,,,,,
YUCATÁN,YN,1.167,1.133,1.042,1.454,2.697,1.318,"11,146",25.2,,,,,
ZACATECAS,ZS,5,2.754,4.647,5,1.404,4.17,"57,953",96.6,,,,,
