ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,DELINCUENCIA_ORGANIZADA,CÁRCEL_SIN_SENTENCIA,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA,IMPACTO_ECONOMICO_BILLONES,,,,
AGUASCALIENTES,AS,1.29,3.087,1.427,2.516,2.152,2.021,"28,061",41.3,,,,
BAJA_CALIFORNIA,BC,4.523,3.743,4.336,3.879,3.471,4.102,"70,234",263,,,,
BAJA_CALIFORNIA_SUR,BS,1.361,3.474,1.167,4.292,2.188,2.448,"38,258",32,,,,
CAMPECHE,CC,1.487,3.039,1.834,2.035,1.609,2.007,"32,762",33.9,,,,
CHIAPAS,CS,1.385,1.512,1.349,1.35,5,1.686,"16,559",97.6,,,,
CHIHUAHUA,CH,3.493,2.791,3.599,2.106,3.212,3.053,"51,977",201.2,,,,
COAHUILA,CL,1.229,2.849,1.141,2.724,2.877,1.998,"17,891",59.1,,,,
COLIMA,CM,5,3.866,5,5,1.71,4.499,"102,426",82.9,,,,
DURANGO,DG,1.464,4.613,1.812,1.86,1.984,2.011,"25,455",48.4,,,,
GUANAJUATO,GT,1.373,3.014,1.451,2.123,2.879,3.472,"51,396",325.4,,,,
GUERRERO,GR,3.484,2.905,4.609,3.504,1.986,2.813,"37,736",138.9,,,,
HIDALGO,HG,2.788,2.339,3.036,3.265,2.403,1.958,"28,731",90.7,,,,
JALISCO,JC,1.529,2.969,1.585,1.826,2.186,2.424,"35,150",301.2,,,,
ESTADO_DE_MÉXICO,MC,2.178,2.882,2.303,2.151,3.171,2.948,"35,748",635.3,,,,
CIUDAD_DE_MÉXICO,DF,1.74,5,2.291,3.717,1.708,2.319,"31,913",286.8,,,,
MICHOACÁN,MN,3.419,2.257,4.215,1.704,2.954,2.937,"51,364",251.1,,,,
MORELOS,MS,3.783,4.193,3.531,2.172,1.939,3.333,"66,785",139.3,,,,
NAYARIT,NT,1.605,1.979,1.515,1.626,4.932,1.936,"28,180",37.3,,,,
NUEVO_LEÓN,NL,2.19,3.255,2.85,4.704,2.314,3.083,"37,541",216.3,,,,
OAXACA,OC,2.16,2.702,2.581,1.697,2.415,2.281,"32,486",136,,,,
PUEBLA,PL,1.744,2.905,1.879,1.508,2.777,2.048,"27,093",182.2,,,,
QUERÉTARO,QT,1.376,3.504,1.682,3.285,1.747,2.315,"32,002",75.5,,,,
QUINTANA_ROO,QR,2.716,4.384,2.577,2.501,2.753,2.996,"53,410",96.1,,,,
SAN_LUIS_POTOSÍ,SP,2.092,3.49,2.334,2.253,2.011,2.461,"33,018",95.9,,,,
SINALOA,SL,1.745,3.132,1.82,2.42,1.831,2.2,"27,625",88.6,,,,
SONORA,SR,3.702,2.585,3.305,2.545,4.083,3.176,"55,491",174.6,,,,
TABASCO,TC,1.628,2.932,1.694,1.705,2.537,2.004,"27,374",71.9,,,,
TAMAULIPAS,TS,1.636,2.74,1.413,1.94,1.855,1.905,"23,130",85.8,,,,
TLAXCALA,TL,1.496,1.352,1.318,1.261,5,1.661,"20,069",28.3,,,,
VERACRUZ,VZ,1.585,2.475,1.832,2.177,2.67,2.032,"21,013",181.4,,,,
YUCATÁN,YN,1.091,1.068,1.038,1.378,5,1.449,"11,366",26.2,,,,
ZACATECAS,ZS,4.837,2.715,5,5,1.939,4.226,"72,198",121.9,,,,
