Concepto,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
               Aguascalientes,74479,82816,83133,78801,82467,84980,81603,84379,86482,91062,97895,103729,109844,114706,121684,116419,124299,133595,143027,145644,158300,167309,174918,176577,182405,185651,200318,219092,218473,201960,219913,230510,242758,251657,277675,294497,307396,314242,327926,327058,303556,312954,316500
               Baja California,400157,451677,446781,406200,425489,437529,402275,414362,417816,436724,467382,487452,511546,513177,548270,494338,558045,631004,662821,720344,790647,730554,696088,682997,697269,716802,772687,778767,756707,658791,686066,698851,726418,733754,760857,795081,828692,863601,878817,897460,833361,901664,929459
               Baja California Sur,53016,57736,58188,57233,59391,60740,59879,61327,62347,65210,67808,71484,74829,72838,75145,72405,80972,84521,86993,89307,95187,99668,97302,102696,110723,117708,126685,137545,142084,134465,138669,144956,147270,145216,147614,156072,163095,170784,184618,179624,152597,170695,177421
               Campeche,511362,560971,559722,523135,546199,566378,548650,570391,588026,614611,649388,671525,692159,687477,713799,678258,734002,777814,808927,763457,826278,892409,913435,986878,998062,985831,959641,897800,828677,753909,730232,711663,691262,692550,685992,700311,663239,595667,564591,544914,502567,491694,473101
               Coahuila de Zaragoza,362299,401420,400947,372296,388156,399779,375949,384636,387781,400158,423115,437256,460053,470418,479740,466715,541595,593148,627310,640331,655491,657961,693560,725622,738323,751258,798549,819995,806977,647795,775119,824838,870635,864429,902863,897702,901719,941582,966055,974554,862347,916340,922287
               Colima,63715,69002,69594,68026,70501,72488,71375,73308,74614,76928,80232,82613,84540,86397,90021,85408,91716,95886,103304,106422,110551,108485,109196,106240,107179,107631,114844,122046,124498,118472,125596,133676,135600,133729,135091,141029,140705,150360,153808,161221,148214,147102,148130
               Chiapas,200061,212022,213802,211467,217413,221924,221017,225979,230322,237262,246058,253836,262154,271141,281577,280089,277752,286888,304459,304225,309797,308418,312380,314665,304083,310294,321114,324677,337161,332433,355979,361270,370237,360621,374691,364001,369919,359734,353600,349375,334057,349531,368789
               Chihuahua,303190,336144,334521,315609,327939,336125,318335,325130,326595,336952,357493,370983,385368,399928,417237,403135,435992,465483,507713,535622,581264,554947,545694,559445,577533,592161,635598,664331,696713,626310,647630,662043,711481,732551,753195,803883,830489,851284,853323,862012,809562,849224,919617
               Ciudad de México,1831599,2023098,2017376,1937032,1992079,1989028,1890532,1896703,1897079,1966175,2060708,2161708,2235098,2354924,2448263,2292169,2381094,2556605,2657943,2739399,2903709,2870934,2893524,2842789,2962342,2991075,3134225,3142464,3183429,3008812,3125717,3231440,3332209,3363394,3412110,3503520,3571368,3646318,3694575,3688277,3292782,3480722,3640388
               Durango,138132,149622,148864,142374,146542,149331,144411,147320,149136,153874,160988,165971,169450,172783,181317,174421,183390,190883,206638,206787,208654,217801,218740,231279,242836,235762,241373,248236,261333,256633,261477,273067,286058,299615,307940,300289,305382,304647,308981,308659,283133,299795,296963
               Guanajuato,368213,405438,405844,386977,401802,411055,395224,404827,410583,426220,449867,467278,482646,496878,515054,498678,529479,563561,609252,617669,653601,657507,687741,708928,728133,731639,769496,778044,798104,761826,812726,854766,892379,931177,978989,1026150,1064743,1115371,1120603,1101227,1023965,1094692,1128686
               Guerrero,193775,203266,204231,201102,205097,207964,205355,208161,210191,214535,221374,226957,231081,231367,244535,228792,233979,241019,252375,254396,256194,258793,256701,254043,265397,272647,280083,287333,288164,282203,290708,291758,294551,299721,320204,314104,313422,308568,317845,315286,288104,299520,306831
