Entidad federativa,Indicador,2015,2016,2017,2018,2019,2020,2021
Aguascalientes,Total,68.36443,19.80594,17.79448,24.64357,46.2644,38.5009,74.48732
Aguascalientes,Hombre,117.22097,35.08417,33.01575,48.32736,84.80174,69.50031,135.83012
Aguascalientes,Mujer,18.09253,4.0262,2.01352,0,6.0357,6.06085,10.17225
Baja California,Total,265.21865,119.32123,65.65194,43.79792,29.34212,26.49739,47.77212
Baja California,Hombre,495.70787,220.23745,122.1903,75.12574,55.33952,48.92393,88.31521
Baja California,Mujer,28.02853,15.3433,7.32,11.43645,2.45304,3.26921,5.72453
Baja California Sur,Total,37.16185,25.4918,14.27358,6.99187,5.13899,5.03907,3.29612
Baja California Sur,Hombre,73.02885,39.35631,28.04126,13.73332,10.09048,6.59115,6.46189
Baja California Sur,Mujer,0,11.12354,0,0,0,3.4257,0
Campeche,Total,16.94255,15.45958,51.04028,10.80432,6.154,15.32182,4.57211
Campeche,Hombre,33.27745,21.23723,100.07848,18.14615,12.05194,29.99135,5.96342
Campeche,Mujer,0,9.45661,0,3.15218,0,0,3.11746
Coahuila de Zaragoza,Total,79.47109,29.26383,40.77503,16.07885,15.65924,14.3101,18.98046
Coahuila de Zaragoza,Hombre,149.80804,52.95584,74.61819,27.04578,27.11289,22.6302,37.1898
Coahuila de Zaragoza,Mujer,6.51335,4.66042,5.60549,4.68366,3.75673,5.65193,0
Colima,Total,69.59894,45.47376,11.76875,42.72314,11.5273,7.61114,16.98024
Colima,Hombre,120.40557,84.82359,15.2753,67.94687,14.91584,14.75381,32.89005
Colima,Mujer,16.29872,4.05804,8.06568,15.99804,7.92605,0,0
Chiapas,Total,64.60234,35.24166,5.30632,6.88776,5.58714,9.67177,6.56504
Chiapas,Hombre,118.82861,69.05767,10.01802,12.24656,10.99371,19.02348,12.46147
Chiapas,Mujer,8.90838,0.4469,0.44903,1.35478,0,0,0.46074
Chihuahua,Total,235.05943,120.62062,51.51778,39.64063,35.13924,39.05697,45.5529
Chihuahua,Hombre,450.50169,223.77676,91.94397,67.82345,62.56613,69.52254,80.80259
Chihuahua,Mujer,13.49432,14.2364,9.72885,10.45927,6.70911,7.4385,8.918
Ciudad de México,Total,213.34621,139.42377,71.22158,82.65669,69.69619,64.55057,40.98621
Ciudad de México,Hombre,401.7811,263.68632,135.90273,155.42215,122.01532,118.7406,74.84294
Ciudad de México,Mujer,20.34931,12.2176,5.02275,8.20514,16.19022,9.17946,6.46101
Durango,Total,164.76416,80.70862,51.22326,22.82452,36.29816,20.88411,19.53236
Durango,Hombre,299.61718,148.44774,97.60661,38.97541,59.52849,37.99579,35.31146
Durango,Mujer,25.01603,10.37445,2.98555,6.01102,12.09949,3.04671,3.07003
Guanajuato,Total,28.35888,20.12303,8.16773,9.78421,6.71488,6.99179,15.68376
Guanajuato,Hombre,52.79971,39.00728,15.29396,18.0268,12.82481,13.80339,27.34337
Guanajuato,Mujer,3.49375,0.88315,0.89224,1.34974,0.45322,0,3.68907
Guerrero,Total,20.86877,19.41603,27.0587,29.69579,22.74389,22.64817,16.21694
Guerrero,Hombre,37.32876,35.05003,50.05816,51.79708,40.71061,41.81838,31.19481
Guerrero,Mujer,4.02174,3.3896,3.4287,6.92935,4.2015,2.83427,0.71736
Hidalgo,Total,20.01749,12.53284,15.732,13.84337,12.43115,10.57887,9.21054
Hidalgo,Hombre,35.86385,24.69757,28.22104,22.67572,21.70375,19.85748,17.15234
Hidalgo,Mujer,3.77118,0,2.82292,4.69659,2.81383,0.93787,0.94011
Jalisco,Total,101.01066,51.40684,22.07928,12.06341,7.57559,6.02493,7.57373
Jalisco,Hombre,191.37934,98.547,42.09769,22.37415,13.20573,11.16861,13.86973
Jalisco,Mujer,8.04318,2.80295,1.40264,1.40211,1.7514,0.70065,1.05135
México,Total,35.3284,29.3014,17.61408,18.32015,20.67086,16.16344,20.54977
México,Hombre,64.05029,52.62895,30.10757,31.64107,37.36411,28.98535,35.81022
México,Mujer,5.6772,5.1758,4.6705,4.49933,3.33138,2.83082,4.66067
Michoacán de Ocampo,Total,17.11674,3.16859,0.29042,0.2921,1.4666,2.6505,1.47774
Michoacán de Ocampo,Hombre,31.59601,6.25599,0.57268,0.57563,2.88969,4.63995,2.90858
Michoacán de Ocampo,Mujer,2.30818,0,0,0,0,0.59829,0
Morelos,Total,69.53665,48.57197,31.02885,25.89241,42.8416,58.96756,33.87253
Morelos,Hombre,122.65489,76.7942,55.22185,46.54999,78.40152,95.54469,56.35215
Morelos,Mujer,14.85476,19.4421,6.01101,4.51593,6.01447,21.02412,10.51121
Nayarit,Total,338.75568,135.95096,50.04809,47.26524,42.36191,28.97644,34.92205
Nayarit,Hombre,600.75946,245.56358,94.07485,90.74908,78.94847,50.56065,64.34683
Nayarit,Mujer,68.98527,22.83077,4.52435,2.23741,4.42499,6.56291,4.31781
Nuevo León,Total,273.40689,261.3056,153.62903,60.88281,14.81905,18.97324,6.40587
Nuevo León,Hombre,481.21805,459.0298,256.33304,101.88023,25.23468,33.38125,10.92079
Nuevo León,Mujer,58.56372,56.53807,47.09227,18.3028,3.99181,3.98492,1.70543
Oaxaca,Total,21.15144,8.47708,5.39012,4.15478,3.86281,7.13611,4.57097
