"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 17/03/2024 20:01:52",

"Nombre del Indicador Clave: Razón de médicos en instituciones públicas de salud en contacto con el paciente por cada mil habitantes",
"Definición: Número de médicos (generales, especialistas, pasantes, internos y residentes) en contacto con el paciente en (de) instituciones públicas de salud, por cada mil habitantes, en un año y área geográfica determinados. El nombre es el utilizado a nivel internacional, aunque el indicador solo haga referencia a los médicos en instituciones públicas.",
"Cobertura geográfica: Nacional y Estatal",
"Cobertura temporal: A partir de 2000.",
"Unidad de medida: Razón por cada mil habitantes",
"Periodicidad: Anual",


"Entidad federativa","2015","2016","2017","2018","2019","2020","2021","2022",
"Nacional","1.78152","1.81963","1.83554","1.83519","1.84809","1.85466","1.91989","1.96056"
"Aguascalientes","1.90087","1.98550","2.16623","2.06086","2.15200","2.13729","2.20148","2.23791"
"Baja California","1.58419","1.59542","1.58135","1.49628","1.52373","1.55889","1.54347","1.48371"
"Baja California Sur","2.33295","2.43296","2.36968","2.36669","2.44686","2.39971","2.41515","2.37040"
"Campeche","2.05327","2.15508","2.14011","2.49056","2.40656","2.42233","2.33093","2.38935"
"Coahuila de Zaragoza","1.80359","1.79146","1.82280","1.85342","1.91401","1.87481","1.92183","1.93606"
"Colima","2.30107","2.46245","2.52845","2.63593","2.67699","2.70962","2.66733","2.75043"
"Chiapas","1.26116","1.36668","1.43907","1.40410","1.31228","1.35059","1.37342","1.41995"
"Chihuahua","1.56480","1.64225","1.60839","1.73341","1.70000","1.66788","1.86558","1.84979"
"Ciudad de México","3.79995","3.82686","3.87974","3.82702","3.86971","3.88584","4.01439","4.19122"
"Durango","1.95581","1.99922","1.99266","2.03489","2.01319","2.02728","2.21261","2.15307"
"Guanajuato","1.39597","1.42572","1.49258","1.50044","1.53511","1.56708","1.61310","1.62181"
"Guerrero","1.69413","1.74646","1.87639","1.97026","1.92342","1.89725","1.97925","1.96086"
"Hidalgo","1.53661","1.54902","1.54905","1.56768","1.55696","1.67946","1.71852","1.75781"
"Jalisco","1.88179","1.87419","1.83339","1.79338","1.75369","1.75818","1.80849","1.89327"
"México","1.27998","1.35069","1.25892","1.28398","1.33156","1.35588","1.39598","1.40739"
"Michoacán de Ocampo","1.52840","1.52686","1.54362","1.55576","1.52844","1.61854","1.63267","1.63134"
"Morelos","1.65690","1.72796","1.76491","1.76025","1.72914","1.67070","1.65963","1.68610"
"Nayarit","2.08958","2.08797","2.05058","2.17713","2.20403","2.45472","2.58749","2.54965"
"Nuevo León","1.64862","1.66259","1.68115","1.81328","1.79701","1.75365","1.80760","1.85153"
"Oaxaca","1.52273","1.61328","1.59355","1.58984","1.54250","1.57191","1.59239","1.70454"
"Puebla","1.49987","1.52326","1.56479","1.48933","1.52898","1.44007","1.52738","1.59815"
"Querétaro","1.48054","1.46894","1.51325","1.49326","1.66960","1.66583","1.82809","1.77975"
"Quintana Roo","1.50795","1.55704","1.54800","1.44987","1.45156","1.40182","1.39257","1.40909"
"San Luis Potosí","1.57206","1.65636","1.65219","1.62061","1.54076","1.58478","1.61550","1.53867"
"Sinaloa","1.84562","1.99589","2.12757","2.09195","2.09040","2.10600","2.19411","2.39156"
"Sonora","2.05949","2.01759","2.20382","2.12309","2.21956","2.04278","2.33223","2.45871"
"Tabasco","2.05246","2.09078","2.17334","2.16911","2.46829","2.43480","2.65506","2.87145"
"Tamaulipas","2.02048","1.99739","2.04484","2.01133","1.99245","1.98250","2.02958","2.05466"
"Tlaxcala","1.75712","1.77073","1.76215","1.74421","1.69121","1.74459","1.78758","1.85947"
"Veracruz de Ignacio de la Llave","1.55331","1.56973","1.59097","1.58049","1.59525","1.61850","1.67428","1.72072"
"Yucatán","2.06572","2.14858","2.17780","2.17675","2.23951","2.34224","2.39250","2.29507"
"Zacatecas","1.85418","1.85795","1.88287","1.93891","1.92137","1.91799","2.00012","2.01131"

"Nota: Las series estadísticas se ajustaron con base en las proyecciones de la población de México y de las entidades federativas 2020-2070 publicadas por el CONAPO en 2023.",
"Responsable: SALUD.  Dirección General de Información en Salud.",
"Fuente: SALUD.   Recursos para la Salud.  CONAPO.   Conciliación Demográfica 1950 a 2019 y Proyecciones de la población de México 2020 a 2070.  ",
