Entidad federativa,2015/01,2015/02,2015/03,2015/04,2016/01,2016/02,2016/03,2016/04,2017/01,2017/02,2017/03,2017/04,2018/01,2018/02,2018/03,2018/04,2019/01,2019/02,2019/03,2019/04,2020/01,2020/02,2020/03,2020/04,2021/01,2021/02,2021/03,2021/04,2022/01,2022/02,2022/03,2022/04,2023/01,2023/02,2023/03
Aguascalientes,4431.02378,4589.18542,4915.81919,4850.78744,4794.21727,4810.29322,4782.66687,4698.39196,4566.83803,4533.82338,4595.93995,4760.37,4841.01093,4839.92304,5137.42787,5046.24091,4998.98277,4992.53378,4972.71112,4902.10049,4872.35066,,4786.27193,5322.71238,5406.36329,5349.09827,5590.00766,5163.64406,5418.013,5317.76022,5211.11057,5122.42191,5378.20732,5533.44373,5644.83123
Baja California,5169.52775,5426.71175,5407.40111,5335.86619,5753.06073,5676.14599,5739.20025,5638.07035,5480.20564,5440.58805,5389.78413,5730.07501,5637.76064,5636.49371,5565.54686,5887.28106,6248.72846,6240.66722,6215.8889,6127.62562,6043.5888,,6780.55191,7103.0679,6974.20864,6877.41206,7162.85486,6861.98546,7224.01734,7090.34696,7295.5548,7171.39068,7817.1618,8384.00566,8301.2224
Baja California Sur,5908.03171,5920.04919,5898.98302,5820.94493,6107.05235,6253.38118,6217.46693,6555.89575,6372.33214,6347.35273,6269.80218,6611.62501,6071.43454,6070.07014,6421.78484,6307.80114,6248.72846,6240.66722,6215.8889,6536.13399,6043.5888,,5982.83992,6589.15084,5811.84054,6113.25516,6785.86249,7007.80265,6720.01613,6430.7798,6948.14743,6829.89588,7296.53882,7279.65663,7207.77767
Campeche,4431.02378,4440.03689,4424.23727,4365.7087,4459.737,4329.26389,4304.40018,4463.47236,4338.49613,4112.07237,4178.12723,4100.23256,4235.88456,4234.93266,3982.50222,4205.20076,4165.81897,4160.44481,4143.92594,4085.08374,4684.95256,,3710.28832,4129.69064,4054.77247,3998.49538,4146.91597,4288.74091,4334.4104,4254.20818,4189.89449,4302.83441,4705.9314,4853.36439,4980.73344
Coahuila de Zaragoza,5169.52775,5180.04304,5293.07973,5335.86619,5496.62585,5593.3642,5739.20025,5638.07035,5480.20564,5440.58805,5389.78413,5289.3,5204.08675,5202.91727,5565.54686,5466.76098,5812.77066,5824.62274,5801.49631,5719.11724,6043.5888,,5741.67118,5919.22325,5811.84054,5731.17671,5654.88541,5558.20822,5880.01411,6026.79492,6253.33269,6146.9063,6386.62119,6707.20453,6640.97792
Colima,4923.35976,4933.37432,4915.81919,4850.78744,5177.75465,5034.02778,5165.28022,5074.26331,5310.27678,4987.20572,5389.78413,5125.2907,5042.71972,5041.5865,5137.42787,5046.24091,4998.98277,4992.53378,4972.71112,4902.10049,4834.87104,,4786.27193,5506.25419,5114.41967,5731.17671,5277.89305,5532.47578,5418.013,6026.79492,6253.33269,6146.9063,6050.48323,6036.48407,6177.65388
Chiapas,2954.01586,3212.42979,2949.49151,2910.47247,2876.53036,2886.17593,2869.60012,2819.03517,2973.755,3264.35283,3133.59542,3085.425,3025.63183,3024.9519,3186.00178,3784.68068,3875.18044,3744.40033,3729.53334,3676.57537,3747.96205,,3339.25949,3551.53395,3604.24219,3438.70603,5654.88541,3319.48547,3360.00806,3190.65613,3231.69648,3414.94794,4033.65549,4024.32272,3984.58675
Chihuahua,4923.35976,4933.37432,5030.14056,4947.80319,5273.639,5291.32254,5739.20025,5638.07035,5480.20564,5440.58805,5389.78413,5289.3,5290.82153,5289.63255,5137.42787,5046.24091,5415.56466,5824.62274,5801.49631,5700.11685,5721.26406,,5583.98392,5524.60837,5811.84054,5731.17671,3392.93125,5532.47578,6140.41474,6381.31226,6284.84173,6202.49847,6722.75915,6707.20453,6973.02682
Ciudad de México,4923.35976,4686.70561,4915.81919,4365.7087,4794.21727,4810.29322,4782.66687,5168.23115,5310.27678,5271.88765,5389.78413,5289.3,5204.08675,5202.91727,4978.12778,5046.24091,4998.98277,4992.53378,4972.71112,4902.10049,5237.77696,,5144.31476,5089.61429,5036.92846,4798.19446,5654.88541,4794.81234,4704.01129,4963.24287,4863.7032,5122.42191,5255.47788,5030.40339,4980.73344
Durango,4184.8558,4130.26687,4424.23727,4365.7087,4314.79554,4480.28473,4782.66687,4698.39196,4566.83803,4533.82338,4491.48677,4407.75,4336.73896,4335.76439,4480.315,4625.72083,4582.40087,4992.53378,4972.71112,4902.10049,4834.87104,,4786.27193,4735.3786,4649.47243,4584.94137,4900.90069,4610.39648,4695.61127,4946.75369,4863.7032,4780.92712,5042.06936,5147.38952,4980.73344
