Entidad federativa,2015,2016,2017,2018,2019,2020,2021
Aguascalientes,83.13134,81.94596,82.61587,82.21347,86.10915,91.0696,89.92814
Baja California,85.34541,85.48487,86.82932,87.08663,90.89073,92.44412,94.74835
Baja California Sur,85.19199,90.0249,91.06219,92.09745,95.59075,95.68099,95.55604
Campeche,77.06601,82.07443,82.95027,83.00678,87.08686,89.38409,89.05945
Coahuila de Zaragoza,85.83391,87.55983,87.28182,87.89882,89.20232,91.7275,92.90973
Colima,98.08697,78.32255,80.41165,80.72559,85.07309,86.8353,86.91191
Chiapas,83.53097,84.24488,84.3112,84.70353,84.66108,87.93854,87.34962
Chihuahua,82.17814,82.13833,82.83397,83.93797,86.78459,91.69859,89.95605
Ciudad de México,104.83473,87.54428,88.05717,88.82003,91.94893,94.08387,94.63548
Durango,79.72981,80.42698,79.8627,79.92764,83.38552,85.86136,86.49844
Guanajuato,85.1208,86.13055,85.52878,86.78302,88.37135,89.77993,90.5345
Guerrero,82.87122,83.09772,82.6019,83.20212,84.31696,88.97156,90.30778
Hidalgo,91.80578,91.24919,91.02614,90.62805,92.62428,94.1897,93.11445
Jalisco,84.00394,84.38964,84.56837,85.2503,87.39535,90.941,90.32258
México,93.52381,89.13013,89.4655,89.35483,91.23021,92.98564,93.1209
Michoacán de Ocampo,73.7268,75.232,76.519,75.18375,78.26393,78.53077,81.02493
Morelos,91.03234,85.05176,86.92096,85.55847,88.38301,89.38143,88.97893
Nayarit,89.72537,86.01373,86.53257,87.10444,89.30791,91.80297,91.65492
Nuevo León,89.2126,89.44702,90.15908,90.77428,93.39458,96.75932,94.30088
Oaxaca,88.62435,81.3026,87.21771,84.86359,84.6237,87.67011,83.23492
Puebla,87.6719,87.51976,87.79035,87.47706,89.05753,90.34877,89.91863
Querétaro,80.82727,82.50392,83.62826,84.36747,87.95489,92.79462,91.7134
Quintana Roo,87.27612,87.1162,86.86947,87.83665,92.53627,95.1098,93.31519
San Luis Potosí,85.38646,85.82167,85.23314,87.08397,87.71956,89.45293,89.79805
Sinaloa,86.71315,85.45742,85.15515,85.47938,89.58727,89.65511,92.59525
Sonora,80.87504,85.87192,86.05208,88.02987,90.05178,94.48142,94.21454
Tabasco,87.34339,87.75328,88.55211,89.038,91.49127,94.68608,94.15591
Tamaulipas,84.43099,83.46852,83.60417,83.6773,87.52166,91.64529,92.23307
Tlaxcala,88.90109,88.50031,88.83084,88.6247,91.36357,93.69207,93.75098
Veracruz de Ignacio de la Llave,89.50447,85.09689,84.61322,85.26508,87.39586,89.76267,90.1335
Yucatán,82.09438,83.17633,85.51628,85.91546,89.14768,93.81032,92.4215
Zacatecas,81.47985,80.89469,82.5113,82.50075,83.42211,87.11818,87.42264
