Entidad federativa,Indicador,2015/01,2015/02,2015/03,2015/04,2016/01,2016/02,2016/03,2016/04,2017/01,2017/02,2017/03,2017/04,2018/01,2018/02,2018/03,2018/04,2019/01,2019/02,2019/03,2019/04,2020/01,2020/02,2020/03,2020/04,2021/01,2021/02,2021/03,2021/04,2022/01,2022/02,2022/03,2022/04,2023/01,2023/02,2023/03,2023/04
Aguascalientes,Total,4.51319,4.45453,4.97942,4.06616,3.99321,4.06091,3.95252,3.88478,3.40056,4.16711,3.31035,3.64327,3.68797,3.31805,3.62782,3.16656,3.28535,3.67106,3.79282,3.34141,3.35009,,5.1923,5.19754,3.62242,3.87156,4.62574,4.37726,3.51969,3.7682,4.03923,3.76756,3.01962,3.19796,3.17738,3.50581
Aguascalientes,Hombre,4.79226,4.78432,5.2862,4.6312,4.05716,4.31522,3.96963,4.12687,3.50824,4.33619,3.50002,4.2101,3.51982,3.54763,3.87586,3.23019,3.71269,3.84174,3.7912,3.7852,3.6106,,5.54919,5.72732,3.55801,4.55552,5.19527,4.63061,3.65715,3.54682,4.1614,3.99051,3.33566,3.50895,3.62514,4.04742
Aguascalientes,Mujer,4.04405,3.89903,4.4644,3.14035,3.89096,3.66441,3.92586,3.51037,3.22874,3.90365,3.0062,2.726,3.9556,2.95728,3.23476,3.06375,2.60058,3.40349,3.79545,2.68056,2.94595,,4.60852,4.39843,3.72114,2.84619,3.74571,3.99495,3.30649,4.10019,3.8614,3.4506,2.58592,2.75635,2.55413,2.72317
Baja California,Total,4.21158,4.78652,3.90197,3.77257,2.92339,2.50304,3.00825,2.31747,2.88928,2.81202,3.03208,2.67652,2.11637,2.68229,3.02234,2.23372,2.51192,2.5576,2.89908,2.21851,2.16798,,2.74817,2.88007,2.55476,2.44667,2.87954,2.04351,1.91049,2.50984,2.59254,2.70224,1.71222,2.30743,2.43889,2.24539
Baja California,Hombre,4.21213,5.50004,3.92016,4.17383,2.71405,2.67752,3.04589,2.3894,2.8783,3.01455,3.33402,2.72417,2.14571,2.91853,2.69074,2.37123,2.65423,3.06292,2.79278,2.36955,2.46766,,3.03101,3.26774,2.50829,2.18709,2.82612,2.44352,2.34971,2.97108,2.69044,2.93393,1.87172,2.32333,2.63221,2.17828
Baja California,Mujer,4.21069,3.63429,3.87195,3.13294,3.25472,2.22141,2.94893,2.20816,2.90626,2.50653,2.56997,2.60297,2.06891,2.32,3.50848,2.0286,2.29678,1.78579,3.05807,1.99161,1.70938,,2.30644,2.26758,2.62611,2.84742,2.96273,1.41966,1.2438,1.82062,2.44428,2.36103,1.47459,2.28393,2.16092,2.34606
Baja California Sur,Total,5.48851,4.38736,5.00076,4.26782,4.74021,4.1935,5.3058,4.19773,4.7592,4.00467,4.55795,4.1055,3.72671,3.41515,4.11745,3.87078,3.95454,4.61803,4.94592,4.37215,3.83703,,7.38778,5.42497,4.98176,4.4095,4.25482,2.5922,2.87475,2.73295,2.8679,2.85079,2.75936,2.7007,3.18616,2.26334
Baja California Sur,Hombre,4.69183,4.25676,4.36643,4.24311,4.07701,4.34365,4.93465,3.87977,4.07229,3.71938,3.60046,3.22111,3.31242,3.07381,3.75842,3.5469,3.63998,3.96241,4.54165,3.7623,3.50036,,7.35849,4.8573,4.69359,3.73933,4.0642,1.98979,2.65443,2.02666,2.77105,2.73734,2.39346,2.48105,2.95627,2.14398
Baja California Sur,Mujer,6.74937,4.5913,5.99331,4.3055,5.79049,3.9593,5.87972,4.70709,5.85681,4.45138,6.04125,5.45224,4.33414,3.91661,4.62834,4.34343,4.41105,5.56788,5.52184,5.24546,4.3278,,7.43274,6.29355,5.39199,5.35215,4.53037,3.48587,3.19002,3.74372,3.00817,3.00605,3.28353,3.02929,3.53431,2.44048
Campeche,Total,2.79838,2.51407,3.20245,3.024,3.18445,3.42208,4.2593,3.9427,3.73899,4.02596,4.02836,3.41979,2.62546,3.32284,3.63974,3.47344,3.47572,3.47649,3.0097,3.22312,2.78253,,3.82608,3.38969,2.92643,2.89527,3.057,2.9558,3.06809,2.9533,2.29772,1.97641,1.7624,1.75905,1.81924,1.71511
